STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
21,2020-01-01 06:25:02,2020-01-01 06:23:48,LEINSTER STREET SOUTH,30,29,1,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 06:30:02,2020-01-01 06:23:48,LEINSTER STREET SOUTH,30,29,1,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 06:35:02,2020-01-01 06:33:57,LEINSTER STREET SOUTH,30,29,1,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 06:40:03,2020-01-01 06:33:57,LEINSTER STREET SOUTH,30,29,1,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 06:45:02,2020-01-01 06:44:06,LEINSTER STREET SOUTH,30,29,1,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 06:50:02,2020-01-01 06:44:06,LEINSTER STREET SOUTH,30,29,1,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 06:55:02,2020-01-01 06:54:15,LEINSTER STREET SOUTH,30,29,1,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:00:02,2020-01-01 06:59:02,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:05:02,2020-01-01 06:59:02,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:10:02,2020-01-01 07:09:11,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:15:02,2020-01-01 07:09:11,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:20:02,2020-01-01 07:19:20,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:25:02,2020-01-01 07:19:20,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:30:02,2020-01-01 07:29:29,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:35:02,2020-01-01 07:29:29,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-01 07:40:02,2020-01-01 07:39:38,LEINSTER STREET SOUTH,30,28,2,Open,Leinster Street South,53.342178,-6.254485
