STATION ID,TIME,EIGHT WEEK AHEAD,FIVE WEEKS AHEADTWO WEEKS AHEAD,TEN DAYS AHEAD,ONE WEEK AHEAD,THREE DAYS AHEAD,ONE DAY AHEAD,FOUR AHEAD,THREE AHEAD,TWO AHEAD,ONE AHEAD,AVAILABLE BIKES,TARGET
21,2020-02-28 00:05:28,9,0,2,6,0,1,0,0,0,0,0,0,0
21,2020-02-28 00:10:02,9,0,2,6,0,1,0,0,0,0,0,0,0
21,2020-02-28 00:15:02,9,0,2,6,0,1,0,0,0,0,0,0,0
21,2020-02-28 00:20:02,9,0,2,6,0,1,0,0,0,0,0,0,0
21,2020-02-28 00:25:02,9,0,0,6,0,1,0,0,0,0,0,0,0
21,2020-02-28 00:30:02,9,0,0,6,0,0,0,0,0,0,0,0,0
21,2020-02-28 00:35:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 00:40:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 00:45:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 00:50:03,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 00:55:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:00:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:05:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:10:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:15:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:20:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:25:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:30:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:35:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:40:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:45:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:50:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 01:55:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:00:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:05:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:10:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:15:02,9,0,0,5,0,0,0,0,0,0,0,0,0
