STATION ID,TIME,TWO WEEKS AHEAD,TEN DAYS AHEAD,ONE WEEK AHEAD,THREE DAYS AHEAD,ONE DAY AHEAD,FOUR AHEAD,THREE AHEAD,TWO AHEAD,ONE AHEAD,AVAILABLE BIKES,ONE LATER,TWO LATER,TARGET
21,2020-02-06 13:40:02,24,19,28,20,27,27,27,26,26,28,27.77,27.54,23
21,2020-02-06 13:45:02,26,18,29,19,26,27,26,27,27,28,27.77,27.57,23
21,2020-02-06 13:50:02,25,21,29,19,24,27,26,27,27,24,23.78,23.53,21
21,2020-02-06 13:55:02,26,22,29,19,22,26,27,27,27,23,22.79,22.5,22
21,2020-02-06 14:00:02,15,23,29,19,21,26,27,28,28,23,22.75,22.43,23
21,2020-02-06 14:05:02,13,23,29,19,20,27,27,28,28,24,23.71,23.37,24
21,2020-02-06 14:10:02,9,23,29,19,21,27,28,24,24,23,22.71,22.33,24
21,2020-02-06 14:15:02,10,23,27,19,21,27,28,23,23,23,22.7,22.32,24
21,2020-02-06 14:20:02,11,23,27,19,21,28,24,23,23,21,20.72,20.41,24
21,2020-02-06 14:25:02,11,23,27,19,21,28,23,24,24,22,21.72,21.44,23
21,2020-02-06 14:30:02,11,23,27,20,21,24,23,23,23,23,22.78,22.58,23
21,2020-02-06 14:35:02,11,23,28,20,21,23,24,23,23,24,23.79,23.59,23
21,2020-02-06 14:40:02,9,22,28,20,21,23,23,21,21,24,23.79,23.61,23
21,2020-02-06 14:45:02,8,22,27,20,22,24,23,22,22,24,23.78,23.58,22
21,2020-02-06 14:50:02,7,22,28,20,22,23,21,23,23,24,23.8,23.67,25
21,2020-02-06 14:55:02,6,21,27,19,23,23,22,24,24,23,22.8,22.64,26
21,2020-02-06 15:00:02,6,21,27,19,23,21,23,24,24,23,22.84,22.68,24
21,2020-02-06 15:05:02,6,21,26,19,21,22,24,24,24,23,22.8,22.58,25
21,2020-02-06 15:10:02,5,19,26,19,20,23,24,24,24,23,22.77,22.52,27
21,2020-02-06 15:15:02,5,19,26,17,20,24,24,23,23,22,21.75,21.47,27
21,2020-02-06 15:20:02,4,19,26,17,20,24,24,23,23,25,24.72,24.47,26
21,2020-02-06 15:25:02,4,9,24,17,19,24,23,23,23,26,25.71,25.46,25
21,2020-02-06 15:30:02,5,11,24,17,20,24,23,23,23,24,23.73,23.48,26
21,2020-02-06 15:35:02,6,11,17,17,23,23,23,22,22,25,24.75,24.52,28
21,2020-02-06 15:40:02,7,8,18,18,25,23,23,25,25,27,26.76,26.57,29
21,2020-02-06 15:45:02,9,7,18,17,25,23,22,26,26,27,26.77,26.61,29
21,2020-02-06 15:50:02,8,13,18,17,9,23,25,24,24,26,25.64,25.26,29
21,2020-02-06 15:55:02,9,13,19,18,10,22,26,25,25,25,24.68,24.3,29
21,2020-02-06 16:00:02,9,13,19,18,10,25,24,27,27,26,25.62,25.26,29
21,2020-02-06 16:05:03,8,14,19,18,10,26,25,27,27,28,27.58,27.19,29
21,2020-02-06 16:10:03,8,16,20,18,10,24,27,26,26,29,28.61,28.21,29
21,2020-02-06 16:15:02,6,16,22,20,12,25,27,25,25,29,28.61,28.23,28
21,2020-02-06 16:20:02,6,16,23,20,13,27,26,26,26,29,28.59,28.21,29
21,2020-02-06 16:25:02,6,18,16,22,13,27,25,28,28,29,28.58,28.21,29
21,2020-02-06 16:30:02,8,18,14,21,13,26,26,29,29,29,28.59,28.2,27
21,2020-02-06 16:35:02,7,20,16,21,16,25,28,29,29,29,28.63,28.23,27
21,2020-02-06 16:40:02,7,19,16,21,17,26,29,29,29,29,28.62,28.19,27
21,2020-02-06 16:45:02,8,16,16,21,17,28,29,29,29,28,27.59,27.13,25
21,2020-02-06 16:50:02,9,12,16,23,17,29,29,29,29,29,28.57,28.12,26
21,2020-02-06 16:55:02,7,12,17,23,14,29,29,29,29,29,28.55,28.07,28
21,2020-02-06 17:00:02,9,13,12,25,13,29,29,29,29,27,26.55,26.04,27
21,2020-02-06 17:05:02,13,13,12,26,13,29,29,28,28,27,26.57,26.07,28
21,2020-02-06 17:10:02,13,14,13,26,14,29,29,29,29,27,26.58,26.09,29
21,2020-02-06 17:15:02,15,13,11,23,15,29,28,29,29,25,24.6,24.11,28
21,2020-02-06 17:20:02,17,11,10,20,15,29,29,27,27,26,25.58,25.06,27
21,2020-02-06 17:25:02,19,13,11,21,15,28,29,27,27,28,27.6,27.12,29
21,2020-02-06 17:30:02,19,15,11,23,16,29,27,27,27,27,26.61,26.18,30
21,2020-02-06 17:35:02,18,15,12,21,16,29,27,25,25,28,27.59,27.16,30
21,2020-02-06 17:40:02,19,17,9,22,16,27,27,26,26,29,28.62,28.22,26
21,2020-02-06 17:45:02,18,12,11,20,19,27,25,28,28,28,27.65,27.32,26
21,2020-02-06 17:50:02,19,14,15,22,19,27,26,27,27,27,26.68,26.34,25
21,2020-02-06 17:55:02,18,11,15,25,18,25,28,28,28,29,28.69,28.35,24
