STATION ID,TIME,TWO WEEKS AHEAD,TEN DAYS AHEAD,ONE WEEK AHEAD,THREE DAYS AHEAD,ONE DAY AHEAD,FOUR AHEAD,THREE AHEAD,TWO AHEAD,ONE AHEAD,AVAILABLE BIKES,TARGET
5,2020-02-06 13:40:02,0,7,2,5,11,27,27,28,28,27,28
5,2020-02-06 13:45:02,1,7,2,2,12,27,28,29,28,28,28
5,2020-02-06 13:50:02,2,7,2,3,12,27,28,28,27,28,30
5,2020-02-06 13:55:02,2,8,2,3,11,28,29,28,28,28,31
5,2020-02-06 14:00:02,2,9,2,3,11,28,28,27,28,30,32
5,2020-02-06 14:05:02,3,9,3,5,11,29,28,28,28,31,33
5,2020-02-06 14:10:02,5,10,2,5,11,28,27,28,30,32,35
5,2020-02-06 14:15:02,5,10,2,5,10,28,28,28,31,33,35
5,2020-02-06 14:20:02,5,13,2,5,8,27,28,30,32,35,32
5,2020-02-06 14:25:02,4,14,2,5,7,28,28,31,33,35,32
5,2020-02-06 14:30:02,4,14,2,6,6,28,30,32,35,32,32
5,2020-02-06 14:35:02,6,15,3,6,6,28,31,33,35,32,32
5,2020-02-06 14:40:02,6,17,3,6,6,30,32,35,32,32,31
5,2020-02-06 14:45:02,6,19,3,5,6,31,33,35,32,32,32
5,2020-02-06 14:50:02,5,18,4,5,6,32,35,32,32,31,34
5,2020-02-06 14:55:02,8,18,4,3,4,33,35,32,32,32,34
5,2020-02-06 15:00:02,8,19,4,4,0,35,32,32,31,34,36
5,2020-02-06 15:05:02,7,19,5,4,0,35,32,32,32,34,36
5,2020-02-06 15:10:02,5,21,5,4,0,32,32,31,34,36,37
5,2020-02-06 15:15:02,6,21,5,4,1,32,32,32,34,36,38
5,2020-02-06 15:20:02,6,21,8,5,3,32,31,34,36,37,38
5,2020-02-06 15:25:02,5,20,10,3,3,32,32,34,36,38,39
5,2020-02-06 15:30:02,5,20,8,3,4,31,34,36,37,38,38
5,2020-02-06 15:35:02,4,18,6,3,3,32,34,36,38,39,39
5,2020-02-06 15:40:02,4,18,5,3,3,34,36,37,38,38,40
5,2020-02-06 15:45:02,5,18,7,4,6,34,36,38,39,39,40
5,2020-02-06 15:50:02,7,16,11,5,6,36,37,38,38,40,40
5,2020-02-06 15:55:02,6,20,12,5,6,36,38,39,39,40,21
5,2020-02-06 16:00:02,3,20,13,4,7,37,38,38,40,40,21
5,2020-02-06 16:05:03,3,17,12,3,7,38,39,39,40,21,22
5,2020-02-06 16:10:03,4,18,10,2,8,38,38,40,40,21,23
5,2020-02-06 16:15:02,3,19,10,3,8,39,39,40,21,22,25
5,2020-02-06 16:20:02,3,20,13,7,9,38,40,40,21,23,26
5,2020-02-06 16:25:02,5,23,13,6,11,39,40,21,22,25,26
5,2020-02-06 16:30:02,3,22,13,6,12,40,40,21,23,26,27
5,2020-02-06 16:35:02,1,23,9,5,9,40,21,22,25,26,32
5,2020-02-06 16:40:02,0,21,8,5,9,40,21,23,26,27,13
5,2020-02-06 16:45:02,3,20,7,8,7,21,22,25,26,32,13
5,2020-02-06 16:50:02,3,18,8,10,12,21,23,26,27,13,15
5,2020-02-06 16:55:02,6,15,6,12,12,22,25,26,32,13,18
5,2020-02-06 17:00:02,7,19,7,13,12,23,26,27,13,15,17
5,2020-02-06 17:05:02,1,21,4,12,12,25,26,32,13,18,15
5,2020-02-06 17:10:02,6,19,2,7,12,26,27,13,15,17,11
5,2020-02-06 17:15:02,9,18,2,5,7,26,32,13,18,15,9
5,2020-02-06 17:20:02,11,22,8,13,5,27,13,15,17,11,11
5,2020-02-06 17:25:02,8,18,8,13,6,32,13,18,15,9,16
5,2020-02-06 17:30:02,10,21,13,14,8,13,15,17,11,11,12
5,2020-02-06 17:35:02,15,18,14,14,11,13,18,15,9,16,8
5,2020-02-06 17:40:02,9,19,19,12,9,15,17,11,11,12,8
5,2020-02-06 17:45:02,3,20,17,17,14,18,15,9,16,8,8
5,2020-02-06 17:50:02,3,23,22,14,13,17,11,11,12,8,7
5,2020-02-06 17:55:02,0,23,25,14,13,15,9,16,8,8,6
5,2020-02-06 18:00:02,2,24,24,16,13,11,11,12,8,7,4
5,2020-02-06 18:05:02,2,25,21,18,13,9,16,8,8,6,3
5,2020-02-06 18:10:02,2,28,20,13,13,11,12,8,7,4,2
5,2020-02-06 18:15:02,0,29,16,13,13,16,8,8,6,3,1
5,2020-02-06 18:20:02,0,35,15,12,13,12,8,7,4,2,1
5,2020-02-06 18:25:02,2,35,10,17,13,8,8,6,3,1,1
5,2020-02-06 18:30:02,4,38,14,18,13,8,7,4,2,1,1
5,2020-02-06 18:35:02,0,37,13,23,37,8,6,3,1,1,4
5,2020-02-06 18:40:02,2,35,12,23,37,7,4,2,1,1,9
5,2020-02-06 18:45:02,6,36,13,21,38,6,3,1,1,4,11
5,2020-02-06 18:50:02,7,30,14,23,37,4,2,1,1,9,8
5,2020-02-06 18:55:02,6,23,15,25,38,3,1,1,4,11,8
5,2020-02-06 19:00:01,3,20,17,24,26,2,1,1,9,8,6
5,2020-02-06 19:05:02,3,19,17,27,26,1,1,4,11,8,7
5,2020-02-06 19:10:02,1,20,18,28,28,1,1,9,8,6,8
5,2020-02-06 19:15:02,2,21,19,34,27,1,4,11,8,7,9
5,2020-02-06 19:20:02,2,23,20,37,28,1,9,8,6,8,13
5,2020-02-06 19:25:02,1,24,23,40,29,4,11,8,7,9,16
